topic,index
0,1432
0,1433
7,1434
2,1435
6,1436
4,1437
0,1438
0,1439
0,1440
3,1441
4,1442
0,1443
4,1444
5,1445
0,1446
0,1447
2,1448
7,1449
0,1450
0,1451
5,1452
6,1453
1,1454
0,1455
0,1456
6,1457
0,1458
5,1459
0,1460
0,1461
1,1462
0,1463
6,1464
8,1465
7,1466
0,1467
4,1468
3,1469
0,1470
7,1471
0,1472
0,1473
0,1474
3,1475
6,1476
0,1477
6,1478
5,1479
0,1480
2,1481
4,1482
0,1483
0,1484
0,1485
0,1486
0,1487
0,1488
0,1489
6,1490
1,1491
0,1492
0,1493
5,1494
2,1495
0,1496
0,1497
0,1498
2,1499
0,1500
0,1501
2,1502
0,1503
0,1504
6,1505
0,1506
8,1507
7,1508
0,1509
1,1510
8,1511
0,1512
0,1513
0,1514
8,1515
1,1516
0,1517
5,1518
0,1519
1,1520
6,1521
0,1522
0,1523
0,1524
4,1525
0,1526
0,1527
0,1528
0,1529
0,1530
4,1531
0,1532
0,1533
1,1534
2,1535
0,1536
6,1537
6,1538
0,1539
5,1540
8,1541
0,1542
7,1543
0,1544
5,1545
6,1546
0,1547
0,1548
0,1549
7,1550
4,1551
8,1552
5,1553
0,1554
4,1555
4,1556
1,1557
1,1558
0,1559
0,1560
8,1561
6,1562
0,1563
0,1564
3,1565
7,1566
0,1567
0,1568
6,1569
0,1570
4,1571
8,1572
2,1573
3,1574
0,1575
0,1576
0,1577
0,1578
0,1579
0,1580
0,1581
0,1582
0,1583
0,1584
7,1585
4,1586
0,1587
0,1588
2,1589
0,1590
2,1591
0,1592
0,1593
5,1594
0,1595
7,1596
8,1597
3,1598
5,1599
0,1600
2,1601
2,1602
8,1603
0,1604
0,1605
0,1606
0,1607
6,1608
2,1609
0,1610
7,1611
5,1612
0,1613
7,1614
0,1615
7,1616
0,1617
1,1618
0,1619
5,1620
0,1621
0,1622
0,1623
1,1624
6,1625
0,1626
0,1627
0,1628
0,1629
1,1630
5,1631
8,1632
0,1633
2,1634
0,1635
0,1636
0,1637
0,1638
0,1639
0,1640
0,1641
2,1642
2,1643
1,1644
4,1645
0,1646
4,1647
0,1648
5,1649
5,1650
0,1651
0,1652
0,1653
0,1654
0,1655
0,1656
7,1657
0,1658
4,1659
2,1660
8,1661
0,1662
1,1663
0,1664
8,1665
2,1666
0,1667
0,1668
2,1669
0,1670
0,1671
0,1672
3,1673
0,1674
0,1675
0,1676
4,1677
6,1678
2,1679
3,1680
0,1681
1,1682
0,1683
5,1684
5,1685
2,1686
0,1687
0,1688
4,1689
0,1690
4,1691
0,1692
0,1693
0,1694
0,1695
0,1696
4,1697
0,1698
0,1699
6,1700
0,1701
0,1702
4,1703
1,1704
2,1705
2,1706
0,1707
0,1708
0,1709
2,1710
0,1711
4,1712
0,1713
2,1714
0,1715
6,1716
0,1717
0,1718
0,1719
6,1720
8,1721
3,1722
0,1723
0,1724
2,1725
3,1726
0,1727
4,1728
2,1729
0,1730
7,1731
0,1732
0,1733
0,1734
0,1735
0,1736
0,1737
4,1738
2,1739
0,1740
6,1741
5,1742
0,1743
2,1744
5,1745
2,1746
0,1747
0,1748
0,1749
2,1750
0,1751
0,1752
0,1753
4,1754
0,1755
8,1756
0,1757
4,1758
3,1759
0,1760
4,1761
3,1762
0,1763
0,1764
1,1765
4,1766
7,1767
4,1768
1,1769
7,1770
3,1771
5,1772
2,1773
6,1774
7,1775
8,1776
4,1777
0,1778
4,1779
1,1780
3,1781
0,1782
6,1783
4,1784
6,1785
0,1786
0,1787
0,1788
0,1789
3,1790
8,1791
2,1792
0,1793
8,1794
1,1795
1,1796
3,1797
4,1798
0,1799
0,1800
0,1801
2,1802
5,1803
0,1804
6,1805
3,1806
0,1807
0,1808
0,1809
0,1810
7,1811
2,1812
6,1813
0,1814
2,1815
8,1816
4,1817
0,1818
7,1819
0,1820
8,1821
0,1822
7,1823
4,1824
0,1825
8,1826
0,1827
4,1828
7,1829
1,1830
2,1831
7,1832
0,1833
0,1834
2,1835
8,1836
1,1837
5,1838
0,1839
0,1840
5,1841
1,1842
5,1843
4,1844
4,1845
1,1846
0,1847
8,1848
0,1849
7,1850
0,1851
3,1852
3,1853
0,1854
8,1855
7,1856
0,1857
5,1858
0,1859
7,1860
5,1861
7,1862
0,1863
2,1864
0,1865
0,1866
8,1867
0,1868
7,1869
2,1870
5,1871
0,1872
8,1873
0,1874
0,1875
8,1876
0,1877
8,1878
0,1879
8,1880
2,1881
0,1882
6,1883
3,1884
3,1885
0,1886
3,1887
0,1888
6,1889
0,1890
4,1891
0,1892
0,1893
8,1894
7,1895
2,1896
0,1897
3,1898
3,1899
0,1900
0,1901
7,1902
4,1903
0,1904
2,1905
0,1906
0,1907
5,1908
0,1909
0,1910
3,1911
0,1912
3,1913
0,1914
0,1915
5,1916
0,1917
0,1918
4,1919
4,1920
0,1921
3,1922
0,1923
0,1924
6,1925
0,1926
0,1927
1,1928
5,1929
2,1930
4,1931
1,1932
2,1933
3,1934
0,1935
3,1936
5,1937
0,1938
0,1939
0,1940
4,1941
4,1942
0,1943
8,1944
0,1945
0,1946
0,1947
0,1948
3,1949
8,1950
2,1951
6,1952
0,1953
0,1954
0,1955
4,1956
0,1957
3,1958
5,1959
3,1960
8,1961
8,1962
0,1963
0,1964
8,1965
0,1966
0,1967
4,1968
1,1969
4,1970
0,1971
3,1972
0,1973
0,1974
4,1975
0,1976
2,1977
2,1978
2,1979
0,1980
2,1981
0,1982
2,1983
0,1984
0,1985
0,1986
0,1987
3,1988
2,1989
0,1990
0,1991
0,1992
4,1993
0,1994
0,1995
3,1996
5,1997
0,1998
0,1999
7,2000
2,2001
8,2002
0,2003
4,2004
6,2005
7,2006
3,2007
0,2008
0,2009
0,2010
0,2011
1,2012
0,2013
2,2014
0,2015
0,2016
0,2017
0,2018
0,2019
7,2020
7,2021
0,2022
1,2023
3,2024
0,2025
0,2026
8,2027
0,2028
0,2029
0,2030
0,2031
4,2032
2,2033
0,2034
8,2035
0,2036
0,2037
0,2038
6,2039
5,2040
0,2041
0,2042
2,2043
3,2044
8,2045
4,2046
2,2047
0,2048
0,2049
0,2050
0,2051
0,2052
8,2053
0,2054
0,2055
0,2056
0,2057
6,2058
7,2059
2,2060
0,2061
0,2062
0,2063
0,2064
0,2065
8,2066
8,2067
0,2068
0,2069
4,2070
2,2071
0,2072
0,2073
3,2074
3,2075
0,2076
7,2077
0,2078
2,2079
0,2080
0,2081
0,2082
0,2083
0,2084
0,2085
6,2086
5,2087
0,2088
0,2089
0,2090
0,2091
0,2092
2,2093
7,2094
0,2095
5,2096
0,2097
6,2098
0,2099
0,2100
0,2101
0,2102
0,2103
0,2104
0,2105
3,2106
0,2107
4,2108
0,2109
0,2110
7,2111
6,2112
1,2113
0,2114
0,2115
5,2116
0,2117
0,2118
0,2119
0,2120
0,2121
0,2122
0,2123
0,2124
0,2125
4,2126
8,2127
3,2128
2,2129
1,2130
6,2131
0,2132
3,2133
0,2134
5,2135
0,2136
4,2137
0,2138
3,2139
5,2140
0,2141
3,2142
0,2143
0,2144
8,2145
0,2146
2,2147
5,2148
0,2149
4,2150
3,2151
2,2152
0,2153
8,2154
0,2155
0,2156
0,2157
6,2158
0,2159
0,2160
4,2161
1,2162
1,2163
3,2164
3,2165
0,2166
0,2167
0,2168
0,2169
4,2170
7,2171
0,2172
2,2173
1,2174
0,2175
0,2176
1,2177
7,2178
0,2179
8,2180
4,2181
0,2182
2,2183
4,2184
8,2185
0,2186
4,2187
6,2188
0,2189
0,2190
5,2191
0,2192
4,2193
0,2194
0,2195
0,2196
0,2197
1,2198
0,2199
6,2200
7,2201
0,2202
0,2203
0,2204
0,2205
4,2206
0,2207
4,2208
0,2209
1,2210
3,2211
4,2212
0,2213
0,2214
0,2215
0,2216
0,2217
1,2218
2,2219
6,2220
0,2221
5,2222
7,2223
5,2224
0,2225
0,2226
0,2227
4,2228
5,2229
6,2230
5,2231
7,2232
0,2233
5,2234
0,2235
0,2236
0,2237
0,2238
0,2239
0,2240
2,2241
4,2242
6,2243
0,2244
5,2245
0,2246
1,2247
7,2248
6,2249
8,2250
0,2251
5,2252
3,2253
0,2254
2,2255
0,2256
7,2257
7,2258
4,2259
0,2260
2,2261
5,2262
8,2263
0,2264
0,2265
0,2266
0,2267
7,2268
0,2269
0,2270
0,2271
6,2272
0,2273
0,2274
0,2275
4,2276
4,2277
0,2278
0,2279
5,2280
0,2281
7,2282
5,2283
0,2284
0,2285
3,2286
0,2287
0,2288
0,2289
6,2290
0,2291
3,2292
0,2293
0,2294
0,2295
6,2296
0,2297
5,2298
6,2299
4,2300
0,2301
0,2302
0,2303
0,2304
0,2305
0,2306
0,2307
5,2308
0,2309
3,2310
2,2311
0,2312
0,2313
4,2314
0,2315
0,2316
7,2317
2,2318
2,2319
0,2320
0,2321
6,2322
2,2323
6,2324
5,2325
0,2326
8,2327
0,2328
4,2329
0,2330
0,2331
2,2332
0,2333
0,2334
0,2335
2,2336
4,2337
0,2338
4,2339
0,2340
2,2341
0,2342
5,2343
2,2344
8,2345
6,2346
0,2347
3,2348
0,2349
0,2350
0,2351
2,2352
0,2353
4,2354
0,2355
3,2356
0,2357
8,2358
6,2359
6,2360
7,2361
7,2362
7,2363
0,2364
4,2365
2,2366
3,2367
8,2368
1,2369
2,2370
5,2371
0,2372
4,2373
4,2374
8,2375
0,2376
0,2377
5,2378
8,2379
2,2380
0,2381
0,2382
7,2383
0,2384
4,2385
0,2386
0,2387
0,2388
7,2389
0,2390
0,2391
2,2392
0,2393
0,2394
4,2395
0,2396
0,2397
0,2398
5,2399
7,2400
0,2401
4,2402
3,2403
8,2404
0,2405
8,2406
0,2407
4,2408
0,2409
0,2410
2,2411
3,2412
0,2413
0,2414
6,2415
5,2416
4,2417
3,2418
0,2419
2,2420
0,2421
2,2422
3,2423
3,2424
6,2425
0,2426
0,2427
2,2428
0,2429
4,2430
1,2431
0,2432
5,2433
7,2434
1,2435
8,2436
0,2437
0,2438
4,2439
0,2440
3,2441
6,2442
0,2443
0,2444
0,2445
0,2446
8,2447
0,2448
0,2449
5,2450
0,2451
0,2452
4,2453
0,2454
1,2455
0,2456
0,2457
2,2458
4,2459
0,2460
0,2461
2,2462
4,2463
0,2464
2,2465
0,2466
0,2467
5,2468
1,2469
6,2470
0,2471
0,2472
5,2473
0,2474
0,2475
5,2476
4,2477
5,2478
0,2479
0,2480
0,2481
0,2482
3,2483
2,2484
0,2485
0,2486
5,2487
1,2488
4,2489
0,2490
0,2491
6,2492
1,2493
6,2494
0,2495
0,2496
6,2497
3,2498
0,2499
0,2500
0,2501
8,2502
4,2503
0,2504
0,2505
1,2506
1,2507
3,2508
6,2509
0,2510
0,2511
2,2512
5,2513
3,2514
4,2515
0,2516
4,2517
8,2518
2,2519
8,2520
5,2521
0,2522
3,2523
0,2524
4,2525
2,2526
0,2527
4,2528
0,2529
1,2530
0,2531
6,2532
2,2533
0,2534
4,2535
0,2536
0,2537
7,2538
4,2539
4,2540
0,2541
0,2542
0,2543
0,2544
0,2545
7,2546
4,2547
2,2548
0,2549
4,2550
0,2551
0,2552
5,2553
3,2554
5,2555
0,2556
0,2557
3,2558
6,2559
5,2560
0,2561
8,2562
0,2563
0,2564
6,2565
4,2566
0,2567
0,2568
0,2569
0,2570
8,2571
0,2572
0,2573
0,2574
0,2575
0,2576
2,2577
0,2578
0,2579
0,2580
0,2581
5,2582
5,2583
0,2584
0,2585
1,2586
0,2587
4,2588
2,2589
0,2590
3,2591
0,2592
1,2593
0,2594
1,2595
0,2596
4,2597
1,2598
7,2599
0,2600
0,2601
0,2602
0,2603
6,2604
0,2605
0,2606
3,2607
0,2608
7,2609
0,2610
2,2611
0,2612
0,2613
5,2614
2,2615
6,2616
0,2617
0,2618
0,2619
2,2620
2,2621
7,2622
4,2623
8,2624
5,2625
5,2626
0,2627
0,2628
0,2629
0,2630
2,2631
0,2632
0,2633
0,2634
6,2635
7,2636
0,2637
1,2638
4,2639
0,2640
0,2641
4,2642
0,2643
8,2644
8,2645
0,2646
0,2647
1,2648
0,2649
0,2650
0,2651
0,2652
8,2653
7,2654
4,2655
0,2656
0,2657
8,2658
5,2659
0,2660
5,2661
0,2662
3,2663
0,2664
0,2665
1,2666
8,2667
5,2668
0,2669
5,2670
8,2671
0,2672
7,2673
3,2674
0,2675
0,2676
0,2677
0,2678
3,2679
2,2680
0,2681
0,2682
2,2683
4,2684
3,2685
0,2686
8,2687
0,2688
2,2689
0,2690
8,2691
0,2692
0,2693
0,2694
3,2695
0,2696
0,2697
0,2698
6,2699
2,2700
6,2701
2,2702
0,2703
2,2704
0,2705
0,2706
4,2707
0,2708
0,2709
4,2710
1,2711
1,2712
0,2713
0,2714
1,2715
5,2716
2,2717
8,2718
0,2719
6,2720
0,2721
0,2722
4,2723
2,2724
0,2725
7,2726
0,2727
6,2728
0,2729
0,2730
8,2731
8,2732
3,2733
3,2734
5,2735
5,2736
3,2737
0,2738
6,2739
8,2740
4,2741
6,2742
8,2743
5,2744
3,2745
0,2746
0,2747
0,2748
8,2749
0,2750
2,2751
2,2752
8,2753
0,2754
4,2755
0,2756
0,2757
0,2758
2,2759
5,2760
0,2761
8,2762
7,2763
5,2764
0,2765
0,2766
0,2767
0,2768
0,2769
0,2770
0,2771
2,2772
0,2773
0,2774
0,2775
2,2776
0,2777
0,2778
4,2779
3,2780
0,2781
0,2782
0,2783
2,2784
7,2785
0,2786
0,2787
7,2788
0,2789
8,2790
2,2791
0,2792
0,2793
7,2794
0,2795
0,2796
4,2797
1,2798
0,2799
0,2800
0,2801
0,2802
0,2803
4,2804
5,2805
8,2806
0,2807
0,2808
3,2809
6,2810
0,2811
0,2812
4,2813
7,2814
0,2815
0,2816
0,2817
0,2818
0,2819
0,2820
0,2821
5,2822
4,2823
0,2824
2,2825
0,2826
0,2827
0,2828
0,2829
3,2830
0,2831
0,2832
0,2833
0,2834
0,2835
0,2836
0,2837
3,2838
0,2839
0,2840
0,2841
0,2842
7,2843
2,2844
4,2845
5,2846
0,2847
0,2848
0,2849
6,2850
0,2851
0,2852
0,2853
0,2854
0,2855
4,2856
2,2857
5,2858
0,2859
1,2860
8,2861
7,2862
0,2863
0,2864
0,2865
3,2866
0,2867
4,2868
0,2869
7,2870
8,2871
3,2872
0,2873
0,2874
0,2875
0,2876
0,2877
3,2878
0,2879
0,2880
0,2881
0,2882
0,2883
0,2884
0,2885
4,2886
2,2887
0,2888
8,2889
0,2890
0,2891
0,2892
8,2893
0,2894
0,2895
0,2896
3,2897
4,2898
0,2899
3,2900
5,2901
0,2902
5,2903
5,2904
8,2905
0,2906
5,2907
8,2908
0,2909
2,2910
5,2911
6,2912
0,2913
0,2914
0,2915
2,2916
7,2917
0,2918
8,2919
0,2920
5,2921
4,2922
2,2923
2,2924
7,2925
1,2926
3,2927
0,2928
3,2929
3,2930
0,2931
0,2932
0,2933
8,2934
0,2935
5,2936
7,2937
0,2938
0,2939
0,2940
0,2941
0,2942
0,2943
0,2944
0,2945
1,2946
0,2947
0,2948
0,2949
1,2950
8,2951
2,2952
0,2953
5,2954
0,2955
2,2956
6,2957
7,2958
3,2959
7,2960
0,2961
0,2962
0,2963
0,2964
0,2965
6,2966
0,2967
0,2968
0,2969
3,2970
2,2971
0,2972
1,2973
0,2974
0,2975
0,2976
0,2977
8,2978
8,2979
3,2980
3,2981
7,2982
0,2983
1,2984
6,2985
0,2986
0,2987
0,2988
0,2989
2,2990
0,2991
3,2992
5,2993
4,2994
0,2995
3,2996
0,2997
